workload,trace_id,node_id,replay_32k_eligible,tool_name,recorded_error
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,tool-001,False,web_search,False
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,tool-002,False,web_fetch,False
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,tool-003,False,web_fetch,False
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,tool-004,False,web_search,False
openclaw,c61d22de-5f6c-4958-a7f6-5e9707bd3466,tool-005,False,web_fetch,False
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,tool-001,True,web_search,False
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,tool-002,True,web_fetch,False
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,tool-003,True,web_search,False
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,tool-004,True,web_fetch,False
openclaw,17b5a6a3-bc87-42e8-b0fb-6ab0781ef2cc,tool-005,True,web_fetch,False
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,tool-001,True,web_search,False
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,tool-002,True,web_search,False
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,tool-003,True,web_fetch,False
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,tool-004,True,web_search,False
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,tool-005,True,web_search,False
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,tool-006,True,web_search,False
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,tool-007,True,web_search,False
openclaw,04a04a9b-226c-43fd-b319-d5e89743676f,tool-008,True,web_fetch,False
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,tool-001,True,web_search,False
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,tool-002,True,web_fetch,True
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,tool-003,True,web_fetch,False
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,tool-004,True,web_search,False
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,tool-005,True,web_fetch,True
openclaw,14569e28-c88c-43e4-8c32-097d35b9a67d,tool-006,True,web_fetch,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-001,False,web_search,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-002,False,web_search,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-003,False,web_fetch,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-004,False,web_fetch,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-005,False,web_search,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-006,False,web_search,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-007,False,web_fetch,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-008,False,web_search,False
openclaw,e1fc63a2-da7a-432f-be78-7c4a95598703,tool-009,False,web_fetch,False
openclaw,32102e3e-d12a-4209-9163-7b3a104efe5d,tool-001,True,exec,False
openclaw,32102e3e-d12a-4209-9163-7b3a104efe5d,tool-002,True,exec,False
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,tool-001,True,web_search,False
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,tool-002,True,web_fetch,False
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,tool-003,True,exec,False
openclaw,8e867cd7-cff9-4e6c-867a-ff5ddc2550be,tool-004,True,exec,False
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,tool-001,True,web_search,False
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,tool-002,True,web_search,False
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,tool-003,True,web_fetch,True
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,tool-004,True,web_fetch,False
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,tool-005,True,web_search,False
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,tool-006,True,web_fetch,True
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,tool-007,True,web_fetch,True
openclaw,3627a8be-a77f-41bb-b807-7e1bd4c0ebdf,tool-008,True,web_search,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-001,False,web_search,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-002,False,web_fetch,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-003,False,web_search,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-004,False,web_search,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-005,False,web_fetch,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-006,False,web_fetch,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-007,False,web_search,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-008,False,web_fetch,True
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-009,False,web_search,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-010,False,web_search,False
openclaw,7619a514-5fa8-43ef-9143-83b66a43d7a4,tool-011,False,web_fetch,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-001,False,web_search,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-002,False,web_fetch,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-003,False,web_fetch,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-004,False,web_search,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-005,False,web_search,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-006,False,web_fetch,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-007,False,web_fetch,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-008,False,web_search,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-009,False,web_search,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-010,False,web_fetch,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-011,False,web_search,False
openclaw,676e5e31-a554-4acc-9286-b60d90a92d26,tool-012,False,web_search,False
