workload,replica,seconds,running,waiting,kv,preemptions,compute_counter,cache_counter,output_counter,cpu,cpu_max,runnable,gpu_busy,gpu_power
openclaw,r00,0.06979990005493164,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09358914365933552,1.9801980198019802,1,0.0,59.0025
openclaw,r00,1.0727055072784424,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091703056768559,2.0,1,0.0,59.0025
openclaw,r00,2.0755977630615234,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24941543257989088,6.0,1,0.0,59.167500000000004
openclaw,r00,3.078641653060913,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1403180542563143,2.0,1,0.0,59.1375
openclaw,r00,4.081747055053711,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12472715933894606,2.0,1,0.0,59.1375
openclaw,r00,5.084823369979858,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062402496099843996,2.0,1,0.0,59.07
openclaw,r00,6.087251663208008,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10922140739584958,2.0,1,0.0,59.1
openclaw,r00,7.089947462081909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.140361821584529,2.0,1,0.0,59.07
openclaw,r00,8.093021154403687,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.062402496099843996,2.0,1,0.0,59.137499999999996
openclaw,r00,9.095903396606445,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07799095304944627,2.0,1,0.0,59.17
openclaw,r00,10.098801851272583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10922140739584958,2.0,1,0.0,59.137499999999996
openclaw,r00,11.101872682571411,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1091362644215778,2.0,1,0.0,59.07
openclaw,r00,12.104589939117432,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.23393636930754835,6.0,1,0.0,59.0025
openclaw,r00,13.10755467414856,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12474660845158272,2.0,1,0.0,59.0175
openclaw,r00,14.110639095306396,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12470771628994544,2.0,1,0.0,58.9875
openclaw,r00,15.113232851028442,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14038371548900327,2.9702970297029703,1,0.0,58.935
openclaw,r00,16.116382837295532,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12472715933894606,1.9801980198019802,1,0.0,58.9525
openclaw,r00,17.11884307861328,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18709073900841908,3.9215686274509802,1,0.0,59.0175
openclaw,r00,18.121694803237915,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.15590894917368256,2.9702970297029703,1,0.0,59.082499999999996
openclaw,r00,19.124497175216675,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.078003120124805,2.0,1,0.0,58.92
openclaw,r00,20.12689185142517,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14040561622464898,2.9702970297029703,1,0.0,58.9675
openclaw,r00,21.130149364471436,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.4056795131845842,3.9603960396039604,1,0.0,59.0025
openclaw,r00,22.13330602645874,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2184769038701623,6.930693069306931,1,0.0,59.0025
openclaw,r00,23.136401891708374,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478552487911403,2.9702970297029703,1,0.0,59.035
openclaw,r00,24.139647245407104,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0779666302822392,2.9702970297029703,1,0.0,59.07
openclaw,r00,25.142048835754395,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10932375449008278,1.0101010101010102,1,0.0,59.0325
openclaw,r00,26.14418864250183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12480499219968799,2.0,1,0.0,59.07
openclaw,r00,27.146613836288452,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10922140739584958,2.9702970297029703,1,0.0,58.9875
openclaw,r00,28.149572372436523,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17152658662092624,2.0408163265306123,1,0.0,59.0025
openclaw,r00,29.15205216407776,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12478552487911403,2.9702970297029703,1,0.0,59.0325
openclaw,r00,30.154653310775757,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10920436817472699,3.0,1,0.0,59.0025
openclaw,r00,31.15753483772278,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12474660845158272,2.9702970297029703,1,0.0,58.9875
openclaw,r00,32.160457372665405,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2182725288431556,7.0,1,0.0,58.92
openclaw,r00,33.16352725028992,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14027431421446385,3.0,1,0.0,58.92
openclaw,r00,34.16599440574646,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0936183491964425,2.0,1,0.0,58.92
openclaw,r00,35.168936014175415,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.10915328239513489,2.9702970297029703,1,0.0,58.935
openclaw,r00,36.17131519317627,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12480499219968799,2.9702970297029703,1,0.0,59.1
openclaw,r00,37.17448115348816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09355995633868704,2.9702970297029703,1,0.0,59.0
openclaw,r00,38.17765712738037,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.271905207358903,32.67326732673267,5,0.5,59.2025
openclaw,r00,39.18019080162048,1.0,0.0,0.005928853754940677,0.0,0.0,0.0,0.0,6.538701622971286,41.0,6,70.0,74.82249999999999
openclaw,r00,40.18311595916748,1.0,0.0,0.005928853754940677,0.0,0.0,0.0,0.0,7.6959100842959725,86.13861386138613,6,0.25,76.595
openclaw,r00,41.185635805130005,2.0,0.0,0.00988142292490124,0.0,7623.0,0.0,2.0,7.3456019962570185,61.0,6,3.75,71.4825
openclaw,r00,42.188451528549194,3.0,0.0,0.014963297571993217,0.0,15057.0,0.0,141.0,8.74240299205236,100.0,7,99.75,149.7
openclaw,r00,43.19116926193237,2.0,0.0,0.010163749294184066,0.0,22492.0,0.0,433.0,9.455453268840692,100.0,7,100.0,150.64999999999998
openclaw,r00,44.19436717033386,2.0,0.0,0.011010728402032766,0.0,29899.0,0.0,545.0,8.865690246182611,100.0,7,92.75,147.1325
openclaw,r00,45.19680857658386,4.0,0.0,0.02060982495765107,0.0,37550.0,7392.0,560.0,8.387901465544122,100.0,6,90.0,299.9
openclaw,r00,46.199883699417114,8.0,0.0,0.03613777526821005,0.0,59947.0,7392.0,697.0,8.651597817614965,100.0,6,92.75,151.2175
openclaw,r00,47.20314693450928,8.0,0.0,0.03613777526821005,0.0,59947.0,7392.0,697.0,7.728264256777813,94.0,5,0.0,73.9075
openclaw,r00,48.20638084411621,8.0,0.0,0.03613777526821005,0.0,59947.0,7392.0,697.0,6.450607665939545,100.0,5,0.0,59.285
openclaw,r00,49.20942687988281,8.0,0.0,0.03613777526821005,0.0,59947.0,7392.0,697.0,6.376676021203617,95.95959595959596,5,0.0,59.22
openclaw,r00,50.21203827857971,8.0,0.0,0.03613777526821005,0.0,59947.0,7392.0,697.0,6.3922669161209855,100.0,5,0.0,59.22
openclaw,r00,51.21539497375488,8.0,0.0,0.03613777526821005,0.0,59947.0,7392.0,697.0,8.574540927482104,100.0,7,0.0,59.22
openclaw,r00,52.21798062324524,9.0,6.0,0.04743083003952564,0.0,67410.0,7392.0,716.0,8.861940298507463,54.0,6,100.0,299.4
openclaw,r00,53.21971607208252,15.0,0.0,0.06916996047430835,0.0,122610.0,35904.0,897.0,9.018567639257295,100.0,7,95.25,211.0025
openclaw,r00,54.22289323806763,10.0,0.0,0.05166572557876903,0.0,122610.0,35904.0,2102.0,9.60548885077187,100.0,7,100.0,211.4275
openclaw,r00,55.22569417953491,13.0,0.0,0.060135516657255805,0.0,137283.0,58080.0,2297.0,8.698363211223695,100.0,7,87.25,262.9625
openclaw,r00,56.2283890247345,9.0,0.0,0.039808018068887674,0.0,147350.0,76560.0,3041.0,9.280923412884105,100.0,6,99.5,256.175
openclaw,r00,57.231433629989624,11.0,0.0,0.04743083003952564,0.0,162601.0,95040.0,3300.0,8.665835411471322,100.0,7,84.0,206.9425
openclaw,r00,58.23354411125183,11.0,0.0,0.04771315640880858,0.0,175444.0,105600.0,3834.0,9.334580021817048,100.0,6,99.75,239.83499999999998
openclaw,r00,59.23625111579895,12.0,1.0,0.06521739130434778,0.0,182059.0,108768.0,4030.0,8.995946367321483,100.0,7,100.0,319.0725
openclaw,r00,60.23931813240051,13.0,0.0,0.07481648785996609,0.0,225173.0,140976.0,4389.0,8.978955572876071,100.0,7,88.75,214.78
openclaw,r00,61.2423312664032,11.0,0.0,0.07566346696781479,0.0,239158.0,162624.0,4797.0,9.255219694608913,100.0,6,98.5,245.9
openclaw,r00,62.2446985244751,13.0,0.0,0.0993788819875776,0.0,262719.0,165792.0,4849.0,8.997349134570404,100.0,6,99.75,313.6225
openclaw,r00,63.24801778793335,11.0,0.0,0.07622811970638055,0.0,298989.0,191664.0,5147.0,8.95638629283489,100.0,7,93.5,183.3
openclaw,r00,64.25098371505737,13.0,0.0,0.09288537549407117,0.0,313159.0,225984.0,5616.0,9.012942460626851,100.0,7,96.75,220.85500000000002
openclaw,r00,65.25309801101685,13.0,0.0,0.0914737436476567,0.0,322507.0,229680.0,6109.0,9.232688708671242,100.0,7,100.0,314.19
openclaw,r00,66.25619411468506,12.0,0.0,0.08469791078486733,0.0,342976.0,280368.0,6493.0,9.130570271112497,100.0,6,99.0,191.19
openclaw,r00,67.2594268321991,11.0,0.0,0.07989836250705817,0.0,344927.0,324720.0,7298.0,9.245400685999376,100.0,7,100.0,217.885
