workload,replica,minute,arrivals,output_tokens_s,prompt_sum,requested_output_sum,prefix_reuse,prompt_mean,prompt_p95,prompt_max,cached_mean,cached_p95,cached_max,uncached_mean,uncached_p95,uncached_max,output_mean,output_p95,output_max,queue_mean,queue_p95,queue_max,prefill_mean,prefill_p95,prefill_max,decode_mean,decode_p95,decode_max,residence_mean,residence_p95,residence_max,ongoing_output_step_gap_mean,ongoing_output_step_gap_p95,ongoing_output_step_gap_max,running_mean,running_p95,running_max,waiting_mean,waiting_p95,waiting_max,kv_mean,kv_p95,kv_max,cpu_mean,cpu_p95,cpu_max,cpu_max_mean,cpu_max_p95,cpu_max_max,runnable_mean,runnable_p95,runnable_max,gpu_busy_mean,gpu_busy_p95,gpu_busy_max,gpu_power_mean,gpu_power_p95,gpu_power_max
openclaw,r00,0,37,68.43333333333334,366149,13612,0.3850235832953251,9895.918918918918,18556.799999999992,34482,3810.162162162162,7497.599999999998,13200,6085.756756756757,14389.399999999998,30786,367.8918918918919,351.3999999999994,8418,0.16048273502698018,1.0642604924272745,1.064266940113157,0.7814119517538898,3.708431165060016,6.446188671048731,10.589921140086812,12.365219370461968,219.64600183302537,11.531815857500643,13.418627786636323,220.5211899280548,0.031905810841004856,0.10908325910568242,5.76033353805542,2.55,11.049999999999997,15.0,0.11666666666666667,0.0,6.0,0.012064746847355541,0.052089215132693344,0.06916996047430835,3.0519539645746465,9.283606243330752,9.60548885077187,34.57114525978408,100.0,100.0,2.9,7.0,7,21.925,100.0,100.0,95.69129166666666,264.7843749999999,319.0725
openclaw,r00,1,109,387.85,2794993,23330,0.684984899783291,25642.1376146789,53056.2,71532,17564.477064220184,49209.59999999999,61776,8077.660550458716,27568.4,46091,214.03669724770643,616.9999999999998,2114,0.012440307678894029,5.894945934414863e-06,0.4485516140703112,0.423447377334665,1.0824515469837932,1.6744128249119967,5.818291970851208,21.098458969267064,52.1117030440364,6.254179657052417,21.59904594421385,52.34464979171753,0.026493579241350523,0.12388415336608875,0.32149171829223633,11.183333333333334,17.0,18.0,0.016666666666666666,0.0,1.0,0.12154150197628458,0.1696357989836251,0.18407679277244493,9.3027300418632,9.698619245050438,11.660942866063065,100.0,100.0,100.0,6.966666666666667,8.0,10,97.51666666666667,100.0,100.0,260.5878333333333,338.357,347.995
openclaw,r00,2,106,390.15,3179908,19290,0.7817282764155441,29999.132075471698,81009.5,88215,23451.169811320753,54384.0,87648,6547.962264150943,27886.25,40367,181.9811320754717,657.5,1318,0.030749103647463444,0.2621350613771938,0.606577857863158,0.39942751868786114,1.2864356495556422,1.8482929221354425,4.729515727609396,16.836579810536932,30.806728091090918,5.159692339177401,17.022459387779236,32.106837034225464,0.02534949004247382,0.08729255199432374,0.3604726791381836,10.866666666666667,16.0,17.0,0.05,0.04999999999999716,1.0,0.13517316017316017,0.2165866741953699,0.23941276115189158,9.368820281818603,9.72252533125487,11.293090001559818,100.0,100.0,100.0,6.883333333333334,8.0,9,98.17083333333333,100.0,100.0,255.24704166666666,352.67812499999997,360.1775
openclaw,r00,3,95,319.96666666666664,3517174,20483,0.7608108100423806,37022.88421052632,95590.0,133540,28167.41052631579,87436.8,132528,8855.473684210527,35316.39999999997,62988,215.61052631578949,768.2999999999994,1459,0.17227223256455831,1.3523681932128964,2.8196178399957716,0.618627617638068,1.7513934889575458,3.0793609900865704,7.297588630790185,28.19700890807434,45.51564514194615,8.088488455822594,29.408875298500057,46.031750440597534,0.025846051448879696,0.09727408885955792,0.46320438385009766,9.95,16.099999999999994,20.0,0.23333333333333334,2.0,4.0,0.167090156220591,0.3203839638622246,0.401468097120271,9.431768215712973,9.936465828056742,10.713727940028113,100.0,100.0,100.0,7.066666666666666,8.049999999999997,10,99.09166666666667,100.0,100.0,265.85545833333333,352.592375,372.6425
openclaw,r00,4,85,378.05,3478311,18692,0.8276016721908995,40921.30588235294,93837.19999999998,136481,33866.541176470586,90393.59999999999,133056,7054.764705882353,33660.99999999999,44788,219.90588235294118,694.2,2250,0.05627619844642194,0.5128134868107727,1.203673600917682,0.43859632006462884,1.2614320068620144,1.9181627319194376,5.215274253665634,18.123789361631484,48.736781479092315,5.710146769355325,18.565701198577866,49.07851767539978,0.02461802422902783,0.08839968442916867,0.3996889591217041,11.733333333333333,23.049999999999997,26.0,0.1,1.0,3.0,0.18545078110295501,0.4677018633540373,0.5417843026538678,9.402406951773392,9.88836967714304,10.996724379971923,100.0,100.0,100.0,6.816666666666666,8.0,9,98.8125,100.0,100.0,264.4827916666667,361.275125,385.065
openclaw,r00,5,78,361.43333333333334,3847952,20573,0.8475822983238877,49332.717948717946,112073.0,118307,41813.53846153846,110959.2,115632,7519.179487179487,29332.24999999998,49237,263.7564102564103,972.0999999999997,2962,0.03122075881737356,0.04782111878739398,0.8648023628629744,0.4855969675506155,1.3034530868753773,2.3294515809975564,6.216382300260309,24.031979873846286,66.91117458604276,6.733200039619055,24.256949079036712,67.21095871925354,0.023195784387783882,0.0866769790649414,0.4275064468383789,8.88135593220339,13.0,13.0,0.01694915254237288,0.0,1.0,0.16329470087760434,0.28492377188029355,0.30801806888763406,9.369673590908903,9.77723782810449,9.85981308411215,100.0,100.0,100.0,7.016949152542373,8.0,9,98.79661016949153,100.0,100.0,267.5235593220339,360.86924999999997,367.8675
openclaw,r00,6,65,283.71666666666664,3141248,17802,0.8113514119229045,48326.89230769231,100568.19999999998,117304,39210.092307692306,90710.4,116688,9116.8,45377.79999999993,82037,273.87692307692305,975.7999999999994,3709,0.06188424480720781,0.2706457493361076,2.2154949398245662,0.47784254202404275,1.584220922086386,3.160632718121633,4.880049586912187,19.723189331404832,63.96394956414588,5.419776369975163,19.980410385131805,64.14663767814636,0.019181622492382897,0.056839430332183145,0.39225053787231445,5.85,9.0,10.0,0.08333333333333333,0.04999999999999716,3.0,0.12771974402409186,0.24904009034443816,0.2628458498023716,9.397922244812765,9.718756491891703,11.405422249922093,100.0,100.0,100.0,7,8.0,9,99.1125,100.0,100.0,261.7778333333333,369.689125,376.155
openclaw,r00,7,43,266.46666666666664,2268208,19700,0.8571065792907882,52749.023255813954,97123.0,104552,45211.53488372093,94195.2,101904,7537.488372093023,22188.999999999996,92089,458.13953488372096,1874.4,6234,3.4513569242039394e-06,3.956095315515995e-06,8.265022188425064e-06,0.3930752651419404,0.8346939800539983,3.491480311844498,5.799260256102655,24.079365991009396,79.6933110600803,6.192338971204536,24.291769075393674,79.92517042160034,0.012310964824627494,0.01222834587097168,0.37575483322143555,3.75,5.049999999999997,7.0,0.0,0.0,0.0,0.09645209862601167,0.16103896103896104,0.16854884246188595,9.435416878641126,9.939892768368592,11.51685393258427,99.46666666666667,100.0,100.0,7.15,9.0,13,97.57083333333334,100.0,100.0,223.11820833333334,349.08887500000003,362.03
openclaw,r00,8,34,265.26666666666665,1555603,15301,0.7219425521807299,45753.029411764706,127395.89999999986,170941,33031.05882352941,93033.59999999999,168960,12721.970588235294,47534.59999999999,165270,450.02941176470586,793.5999999999996,8418,0.18459387855631681,0.6355759898549855,4.693566984962672,0.6743390333482667,1.890156773780472,8.031173031078652,5.887222041417023,8.361955655796914,105.99806500598788,6.746154946439407,11.497167861461637,106.19828724861145,0.01297960584616986,0.01310548782348632,0.5375180244445801,3.966666666666667,7.0,8.0,0.1,1.0,1.0,0.07372012045925089,0.19299830604178425,0.21372106154714854,9.453955220015267,9.73284560169692,11.223852638151733,100.0,100.0,100.0,7.05,8.0,9,99.08333333333333,100.0,100.0,226.8025,360.55375000000004,365.98
openclaw,r00,9,47,297.23333333333335,1793002,15764,0.7862567916823294,38148.97872340425,95453.5,108730,29994.893617021276,94195.2,95568,8154.085106382979,24818.899999999998,37223,335.40425531914894,1166.3999999999999,3586,3.289574995002848e-06,3.870576620101929e-06,4.117842763662338e-06,0.35651213811472693,1.0379516244167453,1.1746800087857991,3.71369762577493,12.167442667670548,35.98595423181541,4.070213033797893,12.544645309448242,36.26981806755066,0.011781157338733923,0.01174559593200683,0.400219202041626,3.683333333333333,5.0,6.0,0.0,0.0,0.0,0.05073404856013552,0.08557312252964432,0.12027103331451161,9.491689250490628,9.824788352136231,10.958690568978955,100.0,100.0,100.0,7.05,8.0,8,99.09583333333333,100.0,100.0,221.03329166666666,343.60625,356.01250000000005
